
 ** NVTX Range Summary (nvtx_sum):

+----------+-----------------+-----------+------------+------------+----------+----------+-------------+----------+------------------------------------------------------------------------------------------------------+
| Time (%) | Total Time (ns) | Instances |  Avg (ns)  |  Med (ns)  | Min (ns) | Max (ns) | StdDev (ns) |  Style   |                                                Range                                                 |
+----------+-----------------+-----------+------------+------------+----------+----------+-------------+----------+------------------------------------------------------------------------------------------------------+
|     23.4 |        75270120 |        60 |  1254502.0 |   404548.0 |   303018 | 46362529 |   5925238.7 | PushPop  | TensorRT:ExecutionContext::enqueueV3                                                                 |
|     22.6 |        72518657 |        60 |  1208644.3 |   382406.5 |   285846 | 44768021 |   5722026.1 | PushPop  | TensorRT:{ForeignNode[/Unsqueeze + /Unsqueeze_1.../transformer/layer.5/output_layer_norm/Add_1]}     |
|     22.2 |        71416253 |        60 |  1190270.9 |   364183.0 |   272682 | 44672802 |   5711847.7 | StartEnd | myelin-exec:myelinGraphExecute                                                                       |
|     13.8 |        44311744 |        60 |   738529.1 |     6497.0 |     6241 | 43918328 |   5668971.0 | PushPop  | myelin-exec:/transformer/layer_0/ffn/lin2/MatMul_myl0_8                                              |
|      6.7 |        21426755 |         1 | 21426755.0 | 21426755.0 | 21426755 | 21426755 |         0.0 | StartEnd | :myelinGraphDeserializeBinary                                                                        |
|      2.9 |         9280492 |         1 |  9280492.0 |  9280492.0 |  9280492 |  9280492 |         0.0 | StartEnd | myelin-exec:myelinGraphLoadPersistent                                                                |
|      0.5 |         1528318 |        60 |    25472.0 |    25363.0 |     5310 |    43482 |      4516.4 | PushPop  | myelin-exec:/transformer/layer_1/attention/out_lin/MatMul_myl0_12                                    |
|      0.4 |         1267376 |         1 |  1267376.0 |  1267376.0 |  1267376 |  1267376 |         0.0 | StartEnd | myelin-exec:myelinGraphUnloadPersistent                                                              |
|      0.4 |         1223235 |        60 |    20387.3 |    13861.0 |     6102 |    75632 |     15308.3 | PushPop  | myelin-exec:__myl_MulMulMulAddMulMulTanhAddMul_myl0_39                                               |
|      0.4 |         1160392 |        60 |    19339.9 |     7669.5 |     5120 |   157916 |     27783.2 | PushPop  | myelin-exec:/transformer/layer_5/attention/v_lin/MatMul+/transformer/layer_5/attention/k_lin/MatMul… |
|      0.3 |          957118 |        60 |    15952.0 |    13806.0 |     5710 |    57007 |      8236.7 | PushPop  | myelin-exec:/transformer/layer_3/attention/v_lin/MatMul+/transformer/layer_3/attention/k_lin/MatMul… |
|      0.3 |          927116 |        60 |    15451.9 |    14216.5 |    12824 |    63699 |      6933.3 | PushPop  | myelin-exec:__myl_CastGathGathAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl0_0                            |
|      0.3 |          911978 |        60 |    15199.6 |     7333.5 |     5020 |    52839 |     13864.9 | PushPop  | myelin-exec:/transformer/layer_4/attention/v_lin/MatMul+/transformer/layer_4/attention/k_lin/MatMul… |
|      0.2 |          796490 |        60 |    13274.8 |     8146.0 |     5110 |    62888 |     11794.8 | PushPop  | myelin-exec:/transformer/layer_2/attention/v_lin/MatMul+/transformer/layer_2/attention/k_lin/MatMul… |
|      0.2 |          714493 |        60 |    11908.2 |     7334.0 |     5620 |    43692 |     11651.9 | PushPop  | myelin-exec:/transformer/layer_2/ffn/lin2/MatMul_myl0_24                                             |
|      0.2 |          710669 |        60 |    11844.5 |     7063.5 |     5020 |    35637 |      8956.7 | PushPop  | myelin-exec:/transformer/layer_3/ffn/lin1/MatMul_myl0_30                                             |
|      0.2 |          699328 |        60 |    11655.5 |     8290.5 |     5691 |    39824 |      8116.0 | PushPop  | myelin-exec:/transformer/layer_1/ffn/lin2/MatMul_myl0_16                                             |
