
 ** NVTX Range Summary (nvtx_sum):

+----------+-----------------+-----------+-----------+-----------+----------+----------+-------------+----------+------------------------------------------------------------------------------------------------------+
| Time (%) | Total Time (ns) | Instances | Avg (ns)  | Med (ns)  | Min (ns) | Max (ns) | StdDev (ns) |  Style   |                                                Range                                                 |
+----------+-----------------+-----------+-----------+-----------+----------+----------+-------------+----------+------------------------------------------------------------------------------------------------------+
|     45.1 |       492870643 |       300 | 1642902.1 | 1247212.0 |  1023347 | 43469654 |   2465715.2 | PushPop  | TensorRT:ExecutionContext::enqueueV3                                                                 |
|      4.8 |        52959923 |      3900 |   13579.5 |   10630.0 |     4188 |   221205 |     16246.8 | StartEnd | myelin-exec:myelinGraphExecute                                                                       |
|      3.1 |        34310641 |       300 |  114368.8 |    6738.0 |     6022 | 29706037 |   1714239.1 | PushPop  | TensorRT:/transformer/layer.0/attention/MatMul_1                                                     |
|      2.1 |        23250090 |        13 | 1788468.5 | 1630965.0 |  1528073 |  2706881 |    321166.0 | StartEnd | :myelinGraphDeserializeBinary                                                                        |
|      1.5 |        16466908 |       300 |   54889.7 |   24521.0 |    20859 |   309420 |     47171.8 | PushPop  | TensorRT:{ForeignNode[/transformer/layer.3/attention/Cast.../transformer/layer.2/output_layer_norm/… |
|      1.3 |        13812948 |       300 |   46043.2 |   18084.0 |    15018 |   233518 |     44297.8 | PushPop  | TensorRT:{ForeignNode[transformer.layer.4.attention.out_lin.bias + ONNXTRT_Broadcast_437.../transfo… |
|      1.2 |        13385325 |       300 |   44617.8 |   18570.0 |    15619 |   136576 |     42119.9 | PushPop  | TensorRT:{ForeignNode[transformer.layer.1.attention.out_lin.bias + ONNXTRT_Broadcast_167.../transfo… |
|      1.2 |        12733409 |       300 |   42444.7 |   39739.5 |    35136 |   138970 |     10929.3 | PushPop  | TensorRT:{ForeignNode[/Unsqueeze + /Unsqueeze_1.../embeddings/LayerNorm/Add_1]}                      |
|      1.0 |        11026541 |       300 |   36755.1 |   31289.0 |    23754 |   399915 |     27846.5 | PushPop  | TensorRT:{ForeignNode[/transformer/layer.4/attention/Cast.../transformer/layer.3/output_layer_norm/… |
